Class_id,Image id,class_description
/m/014l8n,000002b66c9c498e,Yogurt
/m/0mjqn,000002b66c9c498e,Pie
/m/01yyk,00006af3eaaad9b6,Cereal
/m/02xwb,00013bb4b9ddfbab,Fruit
/m/01tqs1,00017b0dd06aab97,Biscuit
/m/0mjqn,00017b0dd06aab97,Pie
/m/0b0y41,00018690d4ceff1c,Poached egg
/m/02xwb,00018fb4280ed598,Fruit
/m/0kdzn,000197d4f83ddf57,Sausage
/m/01dwwc,0001a282f0638ef1,Pancake
/m/0mjqn,0001a282f0638ef1,Pie
/m/014l8n,0001cb734adac2ee,Yogurt
/m/0mjqn,0001d1b33deff2d3,Pie
/m/017z0v,000222a647457a9c,Toast
/m/01dwwc,000222a647457a9c,Pancake
/m/027x8l3,000222a647457a9c,Breakfast sandwich
/m/04shrv,000222a647457a9c,Hash browns
/m/0b0y41,000222a647457a9c,Poached egg
/m/02xwb,00022c7661698975,Fruit
/m/01xg0j,0002a741d39868c9,Breakfast sausage
/m/0kdzn,0002a741d39868c9,Sausage
/m/017z01,000323390354c939,French toast
/m/017z0v,000323390354c939,Toast
/m/02g3bz,000323390354c939,Quesadilla
/m/0cl1s,000323390354c939,Bread pudding
/m/0mjqn,000323390354c939,Pie
/m/02xwb,000355964e21d5c7,Fruit
/m/01yyk,000428518eb0ef73,Cereal
/m/02xwb,000492aa3eb327d4,Fruit
/m/01tcjp,00055eec11509863,Muffin
/m/01xg0j,00055eec11509863,Breakfast sausage
/m/02w4tl,00055eec11509863,English muffin
/m/0jy4k,00055eec11509863,Doughnut
/m/01yyk,000570fd2c6fc2f5,Cereal
/m/02xwb,000570fd2c6fc2f5,Fruit
/m/02xwb,0005817f5c4ef853,Fruit
/m/04rx8j,0005817f5c4ef853,Fruit salad
/m/0jy4k,0005ed1ba764fc3d,Doughnut
/m/014l8n,0005f3f1f9ba2a3a,Yogurt
/m/02xwb,0006124f7e35107e,Fruit
/m/0jy4k,0006124f7e35107e,Doughnut
/m/02xwb,0006289e4f292bcd,Fruit
/m/01yyk,0006b62aec28eb06,Cereal
/m/01bf_1,0006cd41670bae48,Oatmeal
/m/01yyk,0006cd41670bae48,Cereal
/m/02z9dy,0006cd41670bae48,Granola
/m/0mjqn,0006cd41670bae48,Pie
/m/01tcjp,0006cd43738edc67,Muffin
/m/01tqs1,0006cd43738edc67,Biscuit
/m/0mjqn,0006cd43738edc67,Pie
/m/01yyk,0006d1525a9f61fc,Cereal
/m/02z9dy,0006d1525a9f61fc,Granola
/m/017z0v,0006e79d467197b9,Toast
/m/027x8l3,0006e79d467197b9,Breakfast sandwich
/m/0mjqn,0006e79d467197b9,Pie
/m/01yyk,0007844dce093b4b,Cereal
/m/02xwb,000784f0f3d6092e,Fruit
/m/02xwb,0007a9c8ab376be9,Fruit
/m/01tqs1,0007b8c30150e834,Biscuit
/m/03byy2b,0007b8c30150e834,Monkey bread
/m/09gnq8,0007b8c30150e834,Home fries
/m/0cl1s,0007b8c30150e834,Bread pudding
/m/0mjqn,0007b8c30150e834,Pie
/m/01yyk,0007c5e6448297b8,Cereal
/m/01yyk,0007d18273339b7c,Cereal
/m/01dwwc,000837621efdbfce,Pancake
/m/01xg0j,000837621efdbfce,Breakfast sausage
/m/0b0y41,000837621efdbfce,Poached egg
/m/0kdzn,000837621efdbfce,Sausage
/m/02xwb,000863a4a0ec2d9f,Fruit
/m/01yyk,0008c70f64391581,Cereal
/m/01yyk,0008d9dc5c2aaf55,Cereal
/m/0l6sg,0008d9dc5c2aaf55,Breakfast cereal
/m/02xwb,0008f6b6eb34b0fe,Fruit
/m/04shrv,0008f6b6eb34b0fe,Hash browns
/m/02xwb,0009116e122317b7,Fruit
/m/02xwb,00091a174f6b79ad,Fruit
/m/03bmz,00091ff4ef20390c,Grits
/m/02xwb,000940c844297201,Fruit
/m/01yyk,00094d307650046a,Cereal
/m/02xwb,0009e57c20c24d4a,Fruit
/m/015wgc,000a1bde7566ed4d,Croissant
/m/0kdzn,000a1bde7566ed4d,Sausage
/m/02xwb,000a6b6adc4f11f7,Fruit
/m/014l8n,000ab7bec71cc50a,Yogurt
/m/017z01,000ab7bec71cc50a,French toast
/m/017z0v,000ab7bec71cc50a,Toast
/m/01dwsz,000ab7bec71cc50a,Waffle
/m/01dwwc,000ab7bec71cc50a,Pancake
/m/01pmj8,000ab7bec71cc50a,Scone
/m/01xg0j,000ab7bec71cc50a,Breakfast sausage
/m/02w4tl,000ab7bec71cc50a,English muffin
/m/09cc0q,000ab7bec71cc50a,Biscuits and gravy
/m/0cl1s,000ab7bec71cc50a,Bread pudding
/m/0mjqn,000ab7bec71cc50a,Pie
/m/016bn0,000ccb0dbe055c0f,Omelette
/m/01dwwc,000ccb0dbe055c0f,Pancake
/m/01tcjp,000ccb0dbe055c0f,Muffin
/m/02w4tl,000ccb0dbe055c0f,English muffin
/m/06y1hm,000ccb0dbe055c0f,Turnover
/m/01yyk,000d051e989c3a84,Cereal
/m/02xwb,000d1976fc8ebfe7,Fruit
/m/01pmj8,000d2108aa6cf36b,Scone
/m/01tqs1,000d2108aa6cf36b,Biscuit
/m/01tqs1,000d3c1733354f93,Biscuit
/m/02xwb,000d3c1733354f93,Fruit
/m/0l6sg,000d3c1733354f93,Breakfast cereal
/m/0kdzn,000d6247dc84ed56,Sausage
/m/01dwwc,000d8ec4b19f1393,Pancake
/m/02g3bz,000d8ec4b19f1393,Quesadilla
/m/02xwb,000d9c59687b509b,Fruit
/m/0jy4k,000da34bd064d58a,Doughnut
/m/0mjqn,000e36ea27b91dab,Pie
/m/0kdzn,000e4083164e98be,Sausage
/m/01yyk,000e5c95b8cbb75b,Cereal
/m/02xwb,000f220c9a9533cc,Fruit
/m/03q2b,000fb70c8e06a57c,Ham
/m/02xwb,00105eff22b1046b,Fruit
/m/02xwb,001150b396f6e68c,Fruit
/m/02xwb,001172cb8dbdb0d6,Fruit
/m/04rx8j,001172cb8dbdb0d6,Fruit salad
/m/01yyk,001219210f817b86,Cereal
/m/01dwwc,00121eb7671f8465,Pancake
/m/01tcjp,00121eb7671f8465,Muffin
/m/01yyk,001246c327f65745,Cereal
/m/04shrv,0012e68f19f5d11e,Hash browns
/m/016bn0,001395a5969fbb71,Omelette
/m/02xwb,00147d9e95045025,Fruit
/m/015wgc,0014d375542ce4c8,Croissant
/m/01dwwc,0014d375542ce4c8,Pancake
/m/02g3bz,0014d375542ce4c8,Quesadilla
/m/0400bw,0014d375542ce4c8,Cinnamon roll
/m/0cl1s,0014d4ca8c8baed5,Bread pudding
/m/0jy4k,0014d4ca8c8baed5,Doughnut
/m/0mjqn,0014d4ca8c8baed5,Pie
/m/01tqs1,0014de364e32c9a5,Biscuit
/m/02xwb,0015007e4c8d174b,Fruit
/m/01yyk,00153650edd66db4,Cereal
/m/02xwb,0015f83c11424db9,Fruit
/m/01yyk,001630f008d3dc22,Cereal
/m/02xwb,00164cfbc5281399,Fruit
/m/04rx8j,00164cfbc5281399,Fruit salad
/m/0b0y41,00164cfbc5281399,Poached egg
/m/01yyk,001760bab29dcfd0,Cereal
/m/02xwb,0017b1b931ad89ef,Fruit
/m/04shrv,0017b1b931ad89ef,Hash browns
/m/02xwb,0017b589596ae81d,Fruit
/m/01x5j8,0017e8c54a3c59f7,Crêpe
